Gerencia;Cliente;Sistema;Modulo;Classificacao;TipoFalha;Prioridade;Dificuldade;Colaborador
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Movimentação;Suporte;Falha de Sistema;Alta;Difícil 3;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Liquidação;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Previsão de Resgate Renda Fixa;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Atendimento;Atendimento - Emprestimos;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Provisão de Perda;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Imóveis;Investimentos - Integração;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;FUNCASAL;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;FUNCASAL;Sistema de Empréstimo;Script;Suporte;Falha de Operação;Crítica;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Investimento;Investimentos - Renda Variável;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração com Internet;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;FUNCASAL;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Amortização Extra;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Investimento;Investimentos - Índices;Suporte;Falha de Sistema;Média;Difícil 3;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Movimentação;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Repactuação;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Difícil 3;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;CARFEPE;Sistema de Benefícios;Benefício - Relatórios;Suporte;Falha de Sistema;Alta;Difícil 2;Leonardo Veiga
Atendimento;CARFEPE;Sistema de Benefícios;Benefício - Folha de Benefícios;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
